"nama_evaluator";"ID";"verdict";"error_type"
"E";"59:22";"SUPPORTED";NULL
"D";"59:22";"SUPPORTED";NULL
"E";"59:23";"SUPPORTED";NULL
"D";"59:23";"SUPPORTED";NULL
"E";"114:2";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"114:2";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"6:71";"SUPPORTED";NULL
"D";"6:71";"SUPPORTED";NULL
"Evaluato r 17";"26:109";"SUPPORTED";NULL
"D";"26:109";"SUPPORTED";NULL
"E";"40:65";"SUPPORTED";NULL
"D";"40:65";"SUPPORTED";NULL
"E";"41:9";"SUPPORTED";NULL
"D";"41:9";"NOT_SUPPORTED";"PRONOUN_DISAMBIGUATION_FAILURE"
"E";"6:102";"SUPPORTED";NULL
"D";"6:102";"SUPPORTED";NULL
"E";"20:8";"SUPPORTED";NULL
"D";"20:8";"SUPPORTED";NULL
"E";"27:26";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"27:26";"SUPPORTED";NULL
"E";"35:3";"SUPPORTED";NULL
"D";"35:3";"SUPPORTED";NULL
"E";"44:8";"SUPPORTED";NULL
"D";"44:8";"SUPPORTED";NULL
"E";"21:43";"SUPPORTED";NULL
"D";"21:43";"SUPPORTED";NULL
"E";"5:18";"SUPPORTED";NULL
"D";"5:18";"SUPPORTED";NULL
"E";"6:101";"SUPPORTED";NULL
"D";"6:101";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"9:30";"SUPPORTED";NULL
"D";"9:30";"SUPPORTED";NULL
"E";"25:2";"SUPPORTED";NULL
"D";"25:2";"SUPPORTED";NULL
"E";"37:154";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"37:154";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"E";"3:51";"SUPPORTED";NULL
"D";"3:51";"SUPPORTED";NULL
"E";"21:25";"SUPPORTED";NULL
"D";"21:25";"SUPPORTED";NULL
"E";"29:17";"SUPPORTED";NULL
"D";"29:17";"SUPPORTED";NULL
"E";"29:56";"SUPPORTED";NULL
"D";"29:56";"SUPPORTED";NULL
"E";"36:61";"SUPPORTED";NULL
"D";"36:61";"SUPPORTED";NULL
"E";"43:64";"SUPPORTED";NULL
"D";"43:64";"SUPPORTED";NULL
"E";"26:73";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"26:73";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"2:133";"SUPPORTED";NULL
"D";"2:133";"SUPPORTED";NULL
"E";"6:14";"SUPPORTED";NULL
"D";"6:14";"SUPPORTED";NULL
"E";"12:38";"SUPPORTED";NULL
"D";"12:38";"SUPPORTED";NULL
"E";"27:61";"SUPPORTED";NULL
"D";"27:61";"SUPPORTED";NULL
"E";"27:63";"SUPPORTED";NULL
"D";"27:63";"SUPPORTED";NULL
"E";"27:60";"SUPPORTED";NULL
"D";"27:60";"SUPPORTED";NULL
"E";"28:87";"SUPPORTED";NULL
"D";"28:87";"SUPPORTED";NULL
"E";"28:64";"SUPPORTED";NULL
"D";"28:64";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"29:8";"SUPPORTED";NULL
"D";"29:8";"SUPPORTED";NULL
"E";"33:73";"SUPPORTED";NULL
"D";"33:73";"SUPPORTED";NULL
"E";"35:14";"SUPPORTED";NULL
"D";"35:14";"NOT_SUPPORTED";"OVERGENERALIZATION"
"E";"46:33";"SUPPORTED";NULL
"D";"46:33";"SUPPORTED";NULL
"E";"19:67";"SUPPORTED";NULL
"D";"19:67";"SUPPORTED";NULL
"E";"55:3";"NOT_SUPPORTED";"PRONOUN_DISAMBIGUATION_FAILURE"
"D";"55:3";"NOT_SUPPORTED";"PRONOUN_DISAMBIGUATION_FAILURE"
"E";"44:38";"SUPPORTED";NULL
"D";"44:38";"NOT_SUPPORTED";"OVERGENERALIZATION"
"D";"15:23";"SUPPORTED";NULL
"E";"15:23";"SUPPORTED";NULL
"D";"26:79";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"26:79";"SUPPORTED";NULL
"D";"26:80";"SUPPORTED";NULL
"E";"26:80";"SUPPORTED";NULL
"D";"50:43";"SUPPORTED";NULL
"E";"50:43";"SUPPORTED";NULL
"D";"23:80";"SUPPORTED";NULL
"E";"23:80";"SUPPORTED";NULL
"D";"57:2";"SUPPORTED";NULL
"E";"57:2";"SUPPORTED";NULL
"D";"30:19";"SUPPORTED";NULL
"E";"30:19";"SUPPORTED";NULL
"D";"7:189";"SUPPORTED";NULL
"E";"7:189";"SUPPORTED";NULL
"D";"43:12";"SUPPORTED";NULL
"E";"43:12";"SUPPORTED";NULL
"D";"78:13";"SUPPORTED";NULL
"E";"78:13";"SUPPORTED";NULL
"D";"79:27";"NOT_SUPPORTED";"OVERGENERALIZATION"
"E";"79:27";"SUPPORTED";NULL
"D";"79:31";"SUPPORTED";NULL
"E";"79:31";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"4:132";"SUPPORTED";NULL
"E";"4:132";"SUPPORTED";NULL
"D";"23:86";"SUPPORTED";NULL
"E";"23:86";"SUPPORTED";NULL
"D";"35:13";"SUPPORTED";NULL
"E";"35:13";"SUPPORTED";NULL
"D";"37:5";"NOT_SUPPORTED";"INSUFFICIENT_EVIDENCE"
"E";"37:5";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"D";"34:1";"SUPPORTED";NULL
"E";"34:1";"SUPPORTED";NULL
"D";"43:82";"NOT_SUPPORTED";"AMBIGUOUS_GROUNDING"
"E";"43:82";"SUPPORTED";NULL
"D";"43:84";"SUPPORTED";NULL
"E";"43:84";"SUPPORTED";NULL
"D";"57:10";"SUPPORTED";NULL
"E";"57:10";"SUPPORTED";NULL
"D";"41:38";"SUPPORTED";NULL
"E";"41:38";"SUPPORTED";NULL
"D";"92:13";"SUPPORTED";NULL
"E";"92:13";"SUPPORTED";NULL
"D";"10:49";"SUPPORTED";NULL
"E";"10:49";"SUPPORTED";NULL
"D";"41:39";"SUPPORTED";NULL
"E";"41:39";"SUPPORTED";NULL
"D";"39:42";"SUPPORTED";NULL
"E";"39:42";"SUPPORTED";NULL
"D";"2:126";"SUPPORTED";NULL
"E";"2:126";"SUPPORTED";NULL
"D";"3:37";"SUPPORTED";NULL
"E";"3:37";"SUPPORTED";NULL
"D";"13:22";"NOT_SUPPORTED";"HALLUCINATION"
"E";"13:22";"SUPPORTED";NULL
"D";"17:30";"SUPPORTED";NULL
"E";"17:30";"SUPPORTED";NULL
"D";"16:56";"SUPPORTED";NULL
"E";"16:56";"SUPPORTED";NULL
"D";"22:28";"SUPPORTED";NULL
"E";"22:28";"NOT_SUPPORTED";"THEME_INDUCED_SHIFT"
"D";"20:132";"SUPPORTED";NULL
"E";"20:132";"SUPPORTED";NULL
"D";"28:54";"SUPPORTED";NULL
"E";"28:54";"SUPPORTED";NULL
"D";"34:36";"SUPPORTED";NULL
"E";"34:36";"SUPPORTED";NULL
"D";"42:12";"SUPPORTED";NULL
"E";"42:12";"SUPPORTED";NULL
"D";"67:15";"SUPPORTED";NULL
"E";"67:15";"SUPPORTED";NULL
"D";"6:13";"SUPPORTED";NULL
"E";"6:13";"SUPPORTED";NULL
"D";"2:29";"SUPPORTED";NULL
"E";"2:29";"SUPPORTED";NULL
"D";"2:215";"SUPPORTED";NULL
"E";"2:215";"SUPPORTED";NULL
